Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CERA,PB,PK
"Ganzel, Charlie",CIN,AA,1886,C,9,8,67.7,2,17,6,0,0,0,.920,3.06,19,4,2.13,0,0
"Sommer, Joe",CIN,AA,1886,SS,8,6,57.0,12,13,6,1,0,1,.613,3.00,0,0,0,0,0
"Mann, Fred",CIN,AA,1886,CF,6,6,51.0,4,16,1,0,1,0,.810,3.00,0,0,0,0,0
"Mann, Fred",CIN,AA,1886,RF,8,4,43.7,1,11,0,0,1,0,.917,2.27,0,0,0,0,0
"Harkins, John",CIN,AA,1886,P,8,0,41.3,2,0,4,0,0,0,.667,.87,11,4,0,0,0
"Boyle, Henry",CIN,AA,1886,P,5,0,35.0,0,4,3,0,0,0,1.000,1.80,5,2,0,0,0
"Mann, Fred",CIN,AA,1886,LF,5,3,31.7,0,9,0,0,0,0,1.000,2.56,0,0,0,0,0
"Crane, Ed",CIN,AA,1886,C,6,1,18.0,1,6,1,0,0,0,.875,3.50,0,0,7.71,0,0
"Wiedman, Stump",CIN,AA,1886,P,8,0,13.0,0,0,3,1,0,0,1.000,2.08,1,0,0,0,0
"Quinn, Joe",CIN,AA,1886,CF,5,0,9.0,0,1,0,0,0,0,1.000,1.00,0,0,0,0,0
"Donnelly, Jim",CIN,AA,1886,3B,3,0,7.0,0,1,2,0,0,0,1.000,3.86,0,0,0,0,0
"McGeachy, Jack",CIN,AA,1886,CF,2,0,6.0,0,2,0,0,0,0,1.000,3.00,0,0,0,0,0
"Quinn, Joe",CIN,AA,1886,2B,2,0,6.0,1,1,3,0,0,0,.800,6.00,0,0,0,0,0
"Sommer, Joe",CIN,AA,1886,RF,3,0,6.0,1,1,0,0,0,0,.500,1.50,0,0,0,0,0
"Chamberlain, Elton",CIN,AA,1886,P,5,0,3.0,0,1,0,0,0,0,1.000,3.00,1,0,0,0,0
"McGeachy, Jack",CIN,AA,1886,LF,2,0,3.0,0,3,0,0,0,0,1.000,9.00,0,0,0,0,0
"Burch, Ernie",CIN,AA,1886,CF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"McGeachy, Jack",CIN,AA,1886,2B,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Pfeffer, Fred",LOU,AA,1886,2B,21,19,166.7,5,64,49,5,0,1,.958,6.10,0,0,0,0,0
"Glasscock, Jack",LOU,AA,1886,SS,18,18,151.7,5,38,55,3,0,1,.949,5.52,0,0,0,0,0
"Denny, Jerry",LOU,AA,1886,3B,18,15,129.3,3,19,54,1,1,0,.961,5.08,0,0,0,0,0
"Roseman, Chief",LOU,AA,1886,LF,15,15,121.3,3,39,0,0,0,0,.929,2.89,0,0,0,0,0
"Brown, Tom",LOU,AA,1886,CF,13,13,109.0,6,31,0,0,3,0,.838,2.56,0,0,0,0,0
"Cross, Amos",LOU,AA,1886,C,11,9,74.0,7,21,12,0,0,0,.825,4.01,14,11,2.71,1,0
"Brady, Steve",LOU,AA,1886,RF,10,8,67.3,1,11,0,0,0,0,.917,1.47,0,0,0,0,0
"Strauss, Joe",LOU,AA,1886,RF,8,7,58.0,2,6,0,0,0,0,.750,.93,0,0,0,0,0
"Kilroy, Matt",LOU,AA,1886,P,7,0,54.0,2,0,4,0,0,0,.667,.67,7,7,0,0,0
"Glenn, Ed",LOU,AA,1886,CF,9,5,51.7,6,14,0,0,0,0,.700,2.44,0,0,0,0,0
"Welch, Mickey",LOU,AA,1886,P,7,0,51.3,0,4,3,0,0,0,1.000,1.23,4,4,0,0,0
"Cushman, Ed",LOU,AA,1886,P,6,0,38.7,0,0,2,0,0,1,1.000,.47,8,4,0,0,0
"Daily, Con",LOU,AA,1886,C,5,5,34.0,0,12,5,0,0,0,1.000,4.50,4,5,1.32,1,0
"Werrick, Joe",LOU,AA,1886,3B,10,3,32.3,0,5,9,1,0,0,1.000,3.90,0,0,0,0,0
"Strauss, Joe",LOU,AA,1886,LF,5,3,29.0,1,8,0,0,0,0,.889,2.48,0,0,0,0,0
"Hankinson, Frank",LOU,AA,1886,3B,5,3,27.0,2,2,14,0,0,0,.889,5.33,0,0,0,0,0
"Roseman, Chief",LOU,AA,1886,CF,3,3,26.0,1,7,0,0,0,0,.875,2.42,0,0,0,0,0
"Daily, Con",LOU,AA,1886,1B,3,3,25.0,1,28,0,0,0,2,.966,10.08,0,0,0,0,0
"Healy, John",LOU,AA,1886,P,14,0,22.3,0,3,1,0,0,0,1.000,1.61,2,3,0,0,0
"Brown, Tom",LOU,AA,1886,LF,2,2,18.3,1,5,0,0,0,0,.833,2.45,0,0,0,0,0
"Strauss, Joe",LOU,AA,1886,C,5,1,18.0,0,9,1,0,0,0,1.000,5.00,1,1,3,0,0
"White, Bill",LOU,AA,1886,SS,8,1,18.0,0,7,3,0,0,0,1.000,5.00,0,0,0,0,0
"Roseman, Chief",LOU,AA,1886,RF,2,2,16.3,0,4,0,0,0,0,1.000,2.20,0,0,0,0,0
"Brady, Steve",LOU,AA,1886,1B,2,1,10.0,0,9,3,0,0,0,1.000,10.80,0,0,0,0,0
"White, Bill",LOU,AA,1886,1B,1,1,9.0,0,6,1,0,0,0,1.000,7.00,0,0,0,0,0
"Gilligan, Barney",LOU,AA,1886,C,1,1,9.0,0,1,1,0,0,0,1.000,2.00,0,0,0,0,0
"Glenn, Ed",LOU,AA,1886,RF,4,0,8.0,0,1,0,0,0,0,1.000,1.13,0,0,0,0,0
"Glasscock, Jack",LOU,AA,1886,LF,1,1,8.0,0,4,0,0,0,0,1.000,4.50,0,0,0,0,0
"Pfeffer, Fred",LOU,AA,1886,1B,1,1,7.0,0,6,1,0,0,0,1.000,9.00,0,0,0,0,0
"Daily, Con",LOU,AA,1886,LF,4,0,6.0,0,2,0,0,0,0,1.000,3.00,0,0,0,0,0
"Brown, Tom",LOU,AA,1886,RF,2,0,4.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Conway, Dick",LOU,AA,1886,P,1,0,2.3,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Brady, Steve",LOU,AA,1886,LF,1,0,2.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Gilligan, Barney",LOU,AA,1886,LF,1,0,2.0,0,2,0,0,0,0,1.000,9.00,0,0,0,0,0
"Glenn, Ed",LOU,AA,1886,LF,1,0,2.0,0,1,0,0,0,0,1.000,4.50,0,0,0,0,0
"Strauss, Joe",LOU,AA,1886,CF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Cross, Amos",LOU,AA,1886,CF,1,0,1.0,0,1,0,0,0,0,1.000,9.00,0,0,0,0,0
"Daily, Con",LOU,AA,1886,RF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"McKinnon, Alex",NYG,NL,1886,1B,21,21,184.3,3,202,16,11,0,0,.986,10.64,0,0,0,0,0
"Esterbrook, Dude",NYG,NL,1886,3B,21,21,184.3,4,19,69,4,0,4,.957,4.30,0,0,0,0,0
"Ward, John",NYG,NL,1886,SS,21,21,184.3,10,38,81,8,1,0,.922,5.81,0,0,0,0,0
"Dorgan, Mike",NYG,NL,1886,RF,21,21,184.3,4,30,1,0,0,1,.886,1.51,0,0,0,0,0
"O'Neill, Tip",NYG,NL,1886,CF,14,14,120.3,8,41,0,0,2,0,.837,3.07,0,0,0,0,0
"Keefe, Tim",NYG,NL,1886,P,11,0,94.3,1,2,6,0,0,0,.889,.76,13,8,0,0,0
"Milligan, Jocko",NYG,NL,1886,C,9,9,81.3,1,30,13,0,0,0,.977,4.76,13,9,4.32,1,0
"Rowe, Dave",NYG,NL,1886,2B,10,9,76.3,9,36,16,2,0,1,.852,6.13,0,0,0,0,0
"Gillespie, Pete",NYG,NL,1886,LF,9,9,75.3,2,18,0,0,0,1,.900,2.15,0,0,0,0,0
"Gillespie, Pete",NYG,NL,1886,CF,7,7,64.0,3,18,0,0,0,2,.857,2.53,0,0,0,0,0
"O'Neill, Tip",NYG,NL,1886,LF,7,7,64.0,0,20,0,0,0,0,1.000,2.81,0,0,0,0,0
"Burdock, Jack",NYG,NL,1886,2B,7,7,63.0,1,28,26,3,0,0,.982,7.71,0,0,0,0,0
"Deasley, Pat",NYG,NL,1886,C,6,6,52.0,1,20,3,1,0,0,.958,3.98,0,0,0,0,0
"Daily, Ed",NYG,NL,1886,P,7,0,40.3,1,2,7,0,0,0,.900,2.01,7,3,0,0,0
"Tate, Pop",NYG,NL,1886,C,4,4,33.0,2,10,1,0,0,0,.846,3.00,8,1,3.75,2,0
"Barr, Bob",NYG,NL,1886,P,6,0,24.7,1,1,1,0,0,0,.667,.73,2,1,0,0,0
"Decker, Harry",NYG,NL,1886,C,2,2,18.0,0,11,3,0,0,0,1.000,7.00,1,3,0,0,0
"Toole, Steve",NYG,NL,1886,P,6,0,9.0,0,0,0,0,0,0,.000,.00,1,0,0,0,0
"Shaffer, John",NYG,NL,1886,P,4,0,6.7,0,0,0,0,0,0,.000,.00,2,0,0,0,0
"Daily, Hugh",NYG,NL,1886,P,4,0,4.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Myers, Al",PAT,AA,1886,2B,21,21,186.3,2,80,51,10,0,4,.985,6.33,0,0,0,0,0
